,version,year,km,price,pro,rating
0,Q90 ZEN CHARGE RAPIDE,2016,34734,9850,1,12174.0
1,Q90 INTENS CHARGE RAPIDE,2014,31137,10270,1,9625.0
2,Q90 ZEN,2014,32564,10360,1,10809.0
3,Q90 ZEN CHARGE RAPIDE,2016,23984,12080,1,12174.0
4,Q90 LIFE CHARGE RAPIDE,2015,54661,8010,1,10646.0
5,(2) R90 INTENS,2019,6826,18980,1,
6,Q90 LIFE,2016,17282,10190,1,12321.0
7,Q90 LIFE,2014,17705,10960,1,9090.0
8,Q90 LIFE,2016,18995,10030,1,12321.0
9,Q90 LIFE CHARGE RAPIDE,2014,12767,8800,1,10066.0
10,(2) R90 INTENS,2018,9550,16570,1,15042.0
11,Q90 LIFE,2014,36278,9860,1,9090.0
12,Q90 LIFE CHARGE RAPIDE,2015,27637,9130,1,10646.0
13,Q90 LIFE,2014,18134,10330,1,9090.0
14,Q90 LIFE,2016,66675,7670,1,12321.0
15,INTENS CHARGE RAPIDE,2014,21971,12150,1,
16,Q90 LIFE,2014,18765,10480,1,9090.0
17,LIFE,2013,17544,8380,1,
18,Q90 LIFE,2016,17175,10310,1,12321.0
19,Q90 LIFE,2016,26697,10100,1,12321.0
20,Q90 ZEN,2015,10237,11550,1,10109.0
21,Q90 ZEN,2014,17944,11380,1,10809.0
22,Q90 LIFE CHARGE RAPIDE,2016,65199,8660,1,11236.0
23,Q90 LIFE CHARGE RAPIDE,2014,15561,8540,1,10066.0
24,Q90 LIFE,2014,64673,8590,1,9090.0
25,Q90 LIFE CHARGE RAPIDE,2015,11180,11190,1,10646.0
26,Q90 LIFE,2014,18609,10580,1,9090.0
27,Q90 LIFE,2016,16767,10020,1,12321.0
28,Q90 ZEN,2016,64676,8680,1,13174.0
29,Q90 LIFE CHARGE RAPIDE,2014,26829,10420,1,10066.0
30,Q90 ZEN CHARGE RAPIDE,2015,48422,10610,1,12009.0
31,Q90 LIFE CHARGE RAPIDE,2014,14741,11190,1,10066.0
32,Q90 LIFE,2014,82716,7610,1,9090.0
33,Q90 INTENS,2017,8475,12760,1,13992.0
34,INTENS CHARGE RAPIDE,2015,26818,11130,1,
35,LIFE,2014,45336,9920,1,
36,INTENS,2016,39160,10770,1,
37,R110 INTENS,2017,1,23110,1,
38,Q90 LIFE CHARGE RAPIDE,2016,27791,11830,1,11236.0
39,Q90 LIFE CHARGE RAPIDE,2015,55686,8200,1,10646.0
40,Q90 LIFE CHARGE RAPIDE,2014,18225,10860,1,10066.0
41,Q90 LIFE CHARGE RAPIDE,2014,39900,9420,1,10066.0
42,Q90 INTENS CHARGE RAPIDE,2013,42316,11940,1,9929.0
43,Q90 LIFE CHARGE RAPIDE,2015,20672,8710,1,10646.0
44,Q90 ZEN CHARGE RAPIDE,2014,59520,10660,1,11036.0
45,INTENS,2013,26297,10600,1,
46,Q90 LIFE CHARGE RAPIDE,2013,31957,10990,1,8963.0
47,Q90 LIFE,2016,13370,11660,1,12321.0
48,Q90 INTENS,2015,41149,10380,1,11080.0
49,R90 ZEN,2017,1,21640,1,
50,Q90 ZEN,2014,57207,8380,1,10809.0
51,Q90 LIFE CHARGE RAPIDE,2015,57630,7610,1,10646.0
52,Q90 ZEN CHARGE RAPIDE,2014,15819,10600,1,11036.0
53,Q90 ZEN,2017,7194,11630,1,14544.0
54,Q90 LIFE,2014,9940,10880,1,9090.0
55,Q90 LIFE CHARGE RAPIDE,2014,18322,10680,1,10066.0
56,Q90 LIFE CHARGE RAPIDE,2016,23488,8610,1,11236.0
57,R90 INTENS,2016,3219,16070,1,
58,Q90 ZEN CHARGE RAPIDE,2013,78542,7400,1,9203.0
59,LIFE,2014,17313,10660,1,
60,LIFE,2016,56535,9580,1,
61,LIFE,2016,52310,9820,1,
62,R110 INTENS,2019,1,23150,1,
63,LIFE,2016,17726,10570,1,
64,LIFE,2016,15740,10220,1,
65,Q90 LIFE,2014,18141,11230,1,9090.0
66,Q90 LIFE CHARGE RAPIDE,2014,39996,9300,1,10066.0
67,Q90 LIFE,2014,32982,10870,1,9090.0
68,(2) R90 INTENS,2018,6903,12750,1,15042.0
69,Q90 LIFE CHARGE RAPIDE TYPE 2,2018,7209,13060,1,13903.0
70,Q90 LIFE,2016,23290,9280,1,12321.0
71,(2) Q90 LIFE CHARGE RAPIDE GAMME 2017,2017,22987,12750,1,13124.0
72,Q90 LIFE CHARGE RAPIDE,2013,14601,10560,1,8963.0
73,Q90 LIFE,2016,40395,11000,1,12321.0
74,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2015,23200,12180,1,13023.0
75,Q90 ZEN CHARGE RAPIDE,2016,14837,12420,1,12174.0
76,Q90 INTENS CHARGE RAPIDE TYPE 2,2014,39270,10100,1,10570.0
77,Q90 LIFE,2014,42414,11140,1,9090.0
78,Q90 LIFE,2016,23735,10250,1,12321.0
79,Q90 LIFE,2016,43121,10020,1,12321.0
80,Q90 INTENS CHARGE RAPIDE,2013,61528,11880,1,9929.0
81,Q90 ZEN CHARGE RAPIDE,2013,47647,10440,1,9203.0
82,(2) R90 ZEN,2017,375,22480,1,13399.0
83,Q90 LIFE CHARGE RAPIDE,2016,15062,10230,1,11236.0
84,Q90 ZEN CHARGE RAPIDE,2015,37754,9600,1,12009.0
85,Q90 LIFE CHARGE RAPIDE,2013,26505,8760,1,8963.0
86,Q90 ZEN,2014,18393,11670,1,10809.0
87,Q90 LIFE CHARGE RAPIDE,2016,16023,11760,1,11236.0
88,Q90 LIFE,2014,36301,9790,1,9090.0
89,Q90 ZEN,2016,41539,10690,1,13174.0
90,Q90 ZEN CHARGE RAPIDE,2014,30809,10860,1,11036.0
91,Q90 INTENS CHARGE RAPIDE TYPE 2,2016,39397,11180,1,12889.0
92,Q90 LIFE,2014,7950,10870,1,9090.0
93,Q90 LIFE CHARGE RAPIDE TYPE 2,2017,2728,11530,1,13619.0
94,Q90 LIFE,2014,9890,10240,1,9090.0
95,Q90 INTENS CHARGE RAPIDE,2014,38962,10460,1,9625.0
96,Q90 ZEN,2016,40288,10920,1,13174.0
97,Q90 INTENS CHARGE RAPIDE,2015,30093,11250,1,10624.0
98,Q90 LIFE,2014,42537,9520,1,9090.0
99,Q90 LIFE CHARGE RAPIDE TYPE 2,2017,19230,10710,1,13619.0
100,Q90 LIFE CHARGE RAPIDE,2013,26016,9740,1,8963.0
101,Q90 LIFE,2015,30892,11760,1,9945.0
102,Q90 LIFE CHARGE RAPIDE,2013,17667,10660,1,8963.0
103,Q90 LIFE,2014,19711,11230,1,9090.0
104,Q90 LIFE CHARGE RAPIDE TYPE 2,2017,18781,11260,1,13619.0
105,Q90 INTENS CHARGE RAPIDE,2016,48272,11080,1,13274.0
106,Q90 LIFE,2014,29737,11090,1,9090.0
107,Q90 LIFE CHARGE RAPIDE,2016,41440,10490,1,11236.0
108,Q90 LIFE CHARGE RAPIDE,2016,25904,10060,1,11236.0
109,Q90 ZEN CHARGE RAPIDE,2016,24579,12380,1,12174.0
110,Q90 LIFE CHARGE RAPIDE,2014,39811,9740,1,10066.0
111,Q90 LIFE CHARGE RAPIDE,2014,15116,11480,1,10066.0
112,Q90 LIFE CHARGE RAPIDE,2015,67500,9870,1,10646.0
113,R90 ZEN,2019,3456,18670,1,
114,Q90 LIFE,2014,45225,10260,1,9090.0
115,Q90 ZEN CHARGE RAPIDE,2015,42685,10200,1,12009.0
116,Q90 LIFE,2014,27207,11460,1,9090.0
117,Q90 LIFE CHARGE RAPIDE TYPE 2,2015,57025,9710,1,10520.0
118,Q90 LIFE CHARGE RAPIDE,2016,43611,10780,1,11236.0
119,LIFE,2016,19965,13730,1,
120,LIFE CHARGE RAPIDE,2017,11550,11530,1,
121,Q90 ZEN CHARGE RAPIDE TYPE 2,2015,25618,12860,1,11080.0
122,Q90 LIFE,2017,25672,11100,1,13363.0
123,Q90 LIFE CHARGE RAPIDE,2013,57895,8840,1,8963.0
124,Q90 LIFE,2016,43386,10780,1,12321.0
125,Q90 LIFE CHARGE RAPIDE TYPE 2,2015,9716,11970,1,10520.0
126,Q90 LIFE,2016,54648,9240,1,12321.0
127,Q90 INTENS CHARGE RAPIDE,2014,12057,10910,1,9625.0
128,Q90 ZEN,2016,36520,11620,1,13174.0
129,R90 INTENS TYPE 2,2016,25520,11350,1,11479.0
130,Q90 LIFE,2014,18412,11050,1,9090.0
131,Q90 ZEN CHARGE RAPIDE,2013,17832,10500,1,9203.0
132,LIFE CHARGE RAPIDE,2014,54765,10600,1,
133,LIFE CHARGE RAPIDE,2014,42002,9330,1,
134,Q90 LIFE,2016,27214,10200,1,12321.0
135,Q90 ZEN,2016,33504,11270,1,13174.0
136,R90 INTENS GAMME 2017,2018,16240,19880,1,16922.0
137,Q90 LIFE,2014,17740,11120,1,9090.0
138,Q90 LIFE,2014,25800,9760,1,9090.0
139,LIFE CHARGE RAPIDE,2013,39715,8900,1,
140,Q90 LIFE,2014,27440,11280,1,9090.0
141,Q90 LIFE CHARGE RAPIDE,2016,18545,11760,1,11236.0
142,Q90 INTENS,2015,5028,10840,1,11080.0
143,Q90 LIFE,2014,46047,11230,1,9090.0
144,Q90 ZEN CHARGE RAPIDE,2013,31150,10280,1,9203.0
145,Q90 LIFE CHARGE RAPIDE,2015,56112,10250,1,10646.0
146,Q90 LIFE,2016,20056,10480,1,12321.0
147,Q90 INTENS CHARGE RAPIDE TYPE 2,2015,29124,9840,1,11781.0
148,Q90 LIFE,2017,33111,11270,1,13363.0
149,Q90 INTENS CHARGE RAPIDE,2012,11125,12370,1,8564.0
150,Q90 LIFE,2014,30747,10410,1,9090.0
151,Q90 LIFE CHARGE RAPIDE,2015,14061,10920,1,10646.0
152,Q90 LIFE CHARGE RAPIDE,2015,20230,11660,0,10646.0
153,Q90 INTENS,2017,33275,12940,0,13992.0
154,Q90 LIFE,2017,45012,10890,0,13363.0
155,Q90 INTENS CHARGE RAPIDE TYPE 2,2017,21361,12590,1,13996.0
156,INTENS 5P,2016,34704,12930,1,
157,Q90 LIFE,2014,27310,9430,1,9090.0
158,Q90 LIFE CHARGE RAPIDE,2012,6861,10100,1,8403.0
159,LIFE R75,2018,3570,25450,1,
160,Q90 ZEN,2015,9120,13200,1,10109.0
161,LIFE,2015,12539,11620,1,
162,Q90 INTENS CHARGE RAPIDE,2013,37378,10010,1,9929.0
163,Q90 LIFE,2014,9849,10780,1,9090.0
164,Q90 ZEN,2016,69024,10540,1,13174.0
165,(2) R90 INTENS,2019,1050,20040,1,
166,Q90 LIFE,2014,16515,10830,1,9090.0
167,LIFE,2015,13400,10290,1,
168,Q90 ZEN,2014,27727,11440,1,10809.0
169,Q90 INTENS,2015,25145,12610,1,11080.0
170,Q90 LIFE CHARGE RAPIDE,2015,49629,11270,1,10646.0
171,Q90 INTENS,2016,48573,11250,1,13094.0
172,LIFE CHARGE RAPIDE GAMME 2017 5P,2013,39572,11270,1,
173,Q90 LIFE CHARGE RAPIDE,2015,46943,10360,1,10646.0
174,Q90 ZEN,2015,15084,12310,1,10109.0
175,Q90 ZEN CHARGE RAPIDE,2015,46851,11000,1,12009.0
176,Q90 INTENS CHARGE RAPIDE,2016,28408,14240,1,13274.0
177,Q90 LIFE,2014,2164,11740,1,9090.0
178,Q90 INTENS CHARGE RAPIDE,2015,16219,10170,1,10624.0
179,LIFE,2016,35737,10000,1,
180,(2) R90 INTENS,2017,1140,21640,1,13625.0
181,INTENS CHARGE RAPIDE,2016,32956,12380,1,
182,R75 LIFE,2019,118,17700,1,
183,LIFE CHARGE RAPIDE 5P,2013,16835,11670,1,
184,LIFE,2017,15411,11320,1,
185,Q90 LIFE,2014,34868,9760,1,9090.0
186,(2) R110 INTENS,2019,12,23240,1,
187,Q90 LIFE CHARGE RAPIDE,2015,33464,9090,1,10646.0
188,INTENS CHARGE RAPIDE,2014,18049,10700,1,
189,Q90 LIFE,2016,32929,10620,1,12321.0
190,Q90 LIFE,2016,55500,9840,1,12321.0
191,Q90 LIFE,2014,49626,9320,1,9090.0
192,Q90 INTENS CHARGE RAPIDE,2014,28394,11430,1,9625.0
193,Q90 INTENS CHARGE RAPIDE TYPE 2,2016,590,14850,1,12889.0
194,LIFE CHARGE RAPIDE 5P,2013,27191,11580,1,
195,Q90 LIFE CHARGE RAPIDE,2014,54873,9940,1,10066.0
196,R90 LIFE TYPE 2,2017,41945,10450,1,14183.0
197,Q90 LIFE,2014,40576,9740,1,9090.0
198,Q90 INTENS CHARGE RAPIDE,2017,18236,10910,1,14162.0
199,Q90 ZEN,2014,7449,10790,1,10809.0
200,Q90 LIFE CHARGE RAPIDE,2016,33738,8450,1,11236.0
201,ZEN CHARGE RAPIDE,2014,36787,14800,1,
202,Q90 LIFE CHARGE RAPIDE,2013,29815,9160,1,8963.0
203,Q90 LIFE,2014,31080,10160,1,9090.0
204,R90 INTENS TYPE 2,2018,122,18770,1,16387.0
205,(2) R75 LIFE,2016,8561,12070,1,11264.0
206,Q90 INTENS CHARGE RAPIDE,2014,31476,11060,1,9625.0
207,Q90 LIFE CHARGE RAPIDE TYPE 2,2017,10694,11080,1,13619.0
208,R90 INTENS GAMME 2017,2016,4235,20440,1,12172.0
209,Q90 INTENS,2016,41584,10230,1,13094.0
210,Q90 LIFE,2015,30168,9640,1,9945.0
211,Q90 LIFE CHARGE RAPIDE,2016,16351,7340,1,11236.0
212,INTENS CHARGE RAPIDE,2016,69761,13000,1,
213,Q90 LIFE,2016,37472,10310,1,12321.0
214,Q90 LIFE,2013,38248,10150,1,8005.0
215,Q90 ZEN CHARGE RAPIDE,2015,112953,7520,1,12009.0
216,Q90 ZEN,2016,4414,10980,1,13174.0
217,Q90 LIFE,2016,40327,11140,1,12321.0
218,Q90 LIFE,2016,22224,11400,1,12321.0
219,INTENS CHARGE RAPIDE,2012,39708,8460,1,
220,Q90 LIFE CHARGE RAPIDE,2015,54485,9250,1,10646.0
221,LIFE 5P,2015,7923,13320,1,
222,Q90 LIFE CHARGE RAPIDE,2015,63027,9500,1,10646.0
223,LIFE,2017,11182,11970,1,
224,Q90 LIFE CHARGE RAPIDE,2013,44220,9580,1,8963.0
225,Q90 LIFE CHARGE RAPIDE,2016,16378,10630,1,11236.0
226,Q90 LIFE,2014,35526,10140,1,9090.0
227,Q90 LIFE CHARGE RAPIDE TYPE 2,2016,11270,12630,1,12771.0
228,INTENS CHARGE RAPIDE,2016,17367,12180,1,
229,Q90 LIFE,2014,35042,9220,1,9090.0
230,(2) Q90 ZEN CHARGE RAPIDE GAMME 2017,2016,24724,16370,1,12761.0
231,Q90 LIFE,2014,37519,10340,1,9090.0
232,(2) R90 STAR WARS,2017,114,22210,1,13588.0
233,Q90 LIFE CHARGE RAPIDE,2014,26962,11860,1,10066.0
234,Q90 LIFE CHARGE RAPIDE,2016,37988,10470,1,11236.0
235,(2) Q90 INTENS CHARGE RAPIDE GAMME 2017,2016,11500,16080,1,13577.0
236,Q90 LIFE,2016,19412,10870,1,12321.0
237,Q90 INTENS CHARGE RAPIDE,2013,45419,10040,1,9929.0
238,Q90 LIFE,2016,11811,11160,1,12321.0
239,Q90 ZEN CHARGE RAPIDE,2015,62461,8620,1,12009.0
240,Q90 ZEN,2016,16422,10580,1,13174.0
241,Q90 ZEN CHARGE RAPIDE,2013,31032,11160,1,9203.0
242,Q90 ZEN,2014,17874,11340,1,10809.0
243,Q90 INTENS,2015,13847,13180,1,11080.0
244,LIFE CHARGE RAPIDE GAMME 2017,2015,12455,13450,1,
245,(2) R90 INTENS,2017,6000,20380,1,13625.0
246,Q90 LIFE CHARGE RAPIDE,2015,45790,10180,1,10646.0
247,Q90 INTENS CHARGE RAPIDE,2014,20226,10460,1,9625.0
248,Q90 ZEN,2014,49365,8490,1,10809.0
249,LIFE CHARGE RAPIDE,2016,51421,9980,1,
250,Q90 LIFE CHARGE RAPIDE,2014,44835,12480,1,10066.0
251,INTENS 5P,2013,23917,11110,1,
252,Q90 LIFE,2016,22631,10530,1,12321.0
253,Q90 LIFE,2013,14620,10060,1,8005.0
254,Q90 LIFE,2014,15292,10120,1,9090.0
255,Q90 LIFE CHARGE RAPIDE,2016,32004,10540,1,11236.0
256,LIFE,2016,38398,10620,1,
257,Q90 INTENS,2016,9543,12300,1,13094.0
258,Q90 ZEN CHARGE RAPIDE TYPE 2,2014,16050,10680,1,10484.0
259,Q90 INTENS CHARGE RAPIDE,2015,42780,10460,1,10624.0
260,LIFE,2017,13530,12160,1,
261,Q90 INTENS,2016,7,15730,1,13094.0
262,Q90 ZEN CHARGE RAPIDE,2016,24430,11430,1,12174.0
263,INTENS,2014,42449,12900,1,
264,Q90 LIFE CHARGE RAPIDE,2014,62259,8380,1,10066.0
265,INTENS,2014,44425,10770,1,
266,(2) R90 ZEN,2019,123,26180,1,
267,INTENS,2015,58209,10280,1,
268,Q90 LIFE,2015,21264,12240,1,9945.0
269,Q90 ZEN CHARGE RAPIDE,2014,45625,9860,1,11036.0
270,ZEN R90 2018,2019,120,27700,1,
271,Q90 INTENS CHARGE RAPIDE,2016,18056,11710,1,13274.0
272,Q90 LIFE,2014,6351,10980,1,9090.0
273,R90 INTENS,2017,5382,21040,1,
274,R90 INTENS GAMME 2017,2017,6100,24270,1,14195.0
275,Q90 LIFE,2014,49601,13050,1,9090.0
276,Q90 INTENS CHARGE RAPIDE,2015,55333,8860,1,10624.0
277,LIFE CHARGE RAPIDE,2016,12913,10160,1,
278,INTENS CHARGE RAPIDE,2013,23941,12480,1,
279,INTENS R90,2017,121,28850,1,
280,R75 LIFE GAMME 2017,2019,4680,23880,1,
281,Q90 LIFE,2014,52140,9600,1,9090.0
282,(2) R75 LIFE,2017,10900,16880,1,13254.0
283,Q90 INTENS CHARGE RAPIDE,2013,32618,10600,1,9929.0
284,LIFE,2015,32700,10350,1,
285,(2) R90 ZEN,2019,5700,17770,1,
286,R90 ZEN,2019,6720,18250,1,
287,INTENS GAMME 2017,2018,12532,17880,1,
288,(2) R90 ZEN,2017,5900,22400,1,13399.0
289,LIFE CHARGE RAPIDE,2014,105423,8590,1,
290,Q90 LIFE CHARGE RAPIDE,2015,16197,10590,1,10646.0
291,LIFE,2014,67645,11120,1,
292,R75 LIFE,2017,92,24240,1,
